Countries_Territories,Place,Start_date,End_date,Level
United States,California,2020-03-19[152],,State
United States,Clark County in Nevada,2020-03-20,,County
United States,Connecticut,2020-03-23[153],2020-04-22[154],State
United States,Illinois,2020-03-21[155],2020-05-30[156],State
United States,Kansas City in Kansas,2020-03-24[157],2020-04-19[158],City
United States,Massachusetts,2020-03-24[159],2020-05-04[159],State
United States,Michigan,2020-03-24[160],2020-04-13[154],State
United States,New York,2020-03-22[161],2020-06-13[162],State
United States,Oregon,2020-03-24[163],,State
United States,Wisconsin,2020-03-24[164],,State
Russia,Moscow,2020-03-30[121],2020-05-12[122][123],Metropolitan area
Brazil,Santa Catarina,2020-03-17[25],2020-04-07[25],State
Brazil,Ṣo Paulo,2020-03-24[26],2020-05-10[27],State
Liberia,Margibi,2020-03-23[75],2020-04-11[75],County
Liberia,Montserrado,2020-03-23[75],2020-04-11[75],County
Israel,Bnei Brak,2020-04-02[65],,City
